Description,Part Reference,Qty,Part Num,Manufacturer / Datasheet,Distributor,Notes,,,
.001uF (2A102K) polyester capacitor,C34 C100 C101,3,PM2A102K,Xicon,http://www.mouser.com/catalog/specsheets/XC-600181.pdf,http://www.mouser.com/search/ProductDetail.aspx?R=140-PM2A102Kvirtualkey21980000virtualkey140-PM2A102K,,,
.0068uF (2A682K) polyester capacitor,C47,1,PF2A682K,Xicon,http://www.mouser.com/catalog/specsheets/XC-600181.pdf,http://www.mouser.com/search/ProductDetail.aspx?R=140-PF2A682Kvirtualkey21980000virtualkey140-PF2A682K,,,
.01uF (2A103K) polyester capacitor,C10 C20 C21 C33 C46,5,PM2A103K,Xicon,http://www.mouser.com/catalog/specsheets/XC-600181.pdf,http://www.mouser.com/search/ProductDetail.aspx?R=140-PM2A103Kvirtualkey21980000virtualkey140-PM2A103K,,,
.018uF (2A183K) polyester capacitor,C18,1,PF2A183K,Xicon,http://www.mouser.com/catalog/specsheets/XC-600181.pdf,http://www.mouser.com/search/ProductDetail.aspx?R=140-PF2A183Kvirtualkey21980000virtualkey140-PF2A183K,,,
.033uF (2A333K or J) polyester capacitor,C19 C24 C26 C36 C201,5,PM2A333K,Xicon,http://www.mouser.com/catalog/specsheets/XC-600181.pdf,http://www.mouser.com/search/ProductDetail.aspx?R=140-PM2A333Kvirtualkey21980000virtualkey140-PM2A333K,,,
.047uF (2A473K) polyester capacitor,C54,1,PM2A473K,Xicon,http://www.mouser.com/catalog/specsheets/XC-600181.pdf,http://www.mouser.com/search/ProductDetail.aspx?R=140-PM2A473Kvirtualkey21980000virtualkey140-PM2A473K,,,
.068uF (2A683K) polyester capacitor,C45,1,PF2A683K,Xicon,http://www.mouser.com/catalog/specsheets/XC-600181.pdf,http://www.mouser.com/search/ProductDetail.aspx?R=140-PF2A683Kvirtualkey21980000virtualkey140-PF2A683K,,,
.1uF (2A104K) polyester capacitor,C25 C27 C41,3,PM2A104K,Xicon,http://www.mouser.com/catalog/specsheets/XC-600181.pdf,http://www.mouser.com/search/ProductDetail.aspx?R=140-PM2A104Kvirtualkey21980000virtualkey140-PM2A104K,,,
.22uF (2A224K) polyester capacitor,C35,1,PM2A224K,Xicon,http://www.mouser.com/catalog/specsheets/XC-600181.pdf,http://www.mouser.com/search/ProductDetail.aspx?R=140-PM2A224Kvirtualkey21980000virtualkey140-PM2A224K,,,
1.0uF 50V electrolytic capacitor,C11 C13 C14 C15 C17 C22 C23 C29 C38 C105 C58 C59 C56,13,,,http://www.mouser.com/search/ProductDetail.aspx?R=140-XRL50V1.0-RCvirtualkey21980000virtualkey140-XRL50V1.0-RC,,,,
2.2uF 50V electolytic capacitor,C51,1,,,http://www.mouser.com/search/ProductDetail.aspx?R=140-XRL50V2.2-RCvirtualkey21980000virtualkey140-XRL50V2.2-RC,,,,
10uF 16V (or 35V) electrolytic capacitor,C16 C30 C31 C32 C37 C40 C50 C52 C60 C61 C72 C203 C205,13,,,http://www.mouser.com/search/ProductDetail.aspx?R=140-XRL16V10-RCvirtualkey21980000virtualkey140-XRL16V10-RC,,,,
47uF 10V electrolytic capacitor,C28 C44 C53 C55,4,,,http://www.mouser.com/search/ProductDetail.aspx?R=140-XRL16V47-RCvirtualkey21980000virtualkey140-XRL16V47-RC,,,,
100uF 10V electrolytic capacitor,C48 C49 C102,3,,,http://www.mouser.com/search/ProductDetail.aspx?R=140-XRL25V100-RCvirtualkey21980000virtualkey140-XRL25V100-RC,,,,
100uF 25V electrolytic capacitor,C7 C8,2,,,http://www.mouser.com/search/ProductDetail.aspx?R=140-XRL10V100-RCvirtualkey21980000virtualkey140-XRL10V100-RC,,,,
1000uF 10V electrolytic capacitor,C43,1,,,http://www.mouser.com/search/ProductDetail.aspx?R=140-XRL10V1000-RCvirtualkey21980000virtualkey140-XRL10V1000-RC,,,,
2200uF 16V electolytic capacitor,C3 C5,2,,,http://www.mouser.com/search/ProductDetail.aspx?R=140-XRL16V2200-RCvirtualkey21980000virtualkey140-XRL16V2200-RC,,,,
